,index,carat,cut,color,clarity,depth,table,price,x,y,z
0,1388,0.24,3,4,7,62.1,56.0,559,3.97,4.0,2.47
1,19841,1.21,5,3,6,62.9,54.0,8403,6.78,6.82,4.28
2,41647,0.5,1,2,3,61.7,68.0,1238,5.09,5.03,3.12
3,41741,0.5,3,1,4,62.8,56.0,1243,5.06,5.03,3.17
4,17244,1.55,3,2,4,62.3,55.0,6901,7.44,7.37,4.61
5,1608,1.0,1,2,4,55.4,62.0,3011,6.63,6.59,3.66
6,46401,0.51,3,5,7,62.2,56.0,1766,5.12,5.14,3.19
7,24625,1.52,4,4,6,62.6,55.0,12958,7.39,7.28,4.59
8,49388,0.57,3,1,6,61.8,56.0,2103,5.34,5.31,3.29
9,10460,1.14,3,5,3,60.3,57.0,4789,6.79,6.85,4.11
10,25713,1.5,3,2,6,63.4,54.0,14618,7.22,7.25,4.59
11,29496,0.32,3,2,6,61.9,56.0,702,4.35,4.4,2.71
12,36882,0.31,3,2,2,62.2,53.0,958,4.35,4.4,2.72
13,51714,0.7,5,3,3,62.9,59.0,2401,5.62,5.67,3.55
14,40543,0.61,5,7,3,60.8,58.0,1149,5.46,5.49,3.33
15,36924,0.41,3,4,5,60.8,56.0,961,4.82,4.79,2.92
16,1319,0.98,1,3,4,61.6,66.0,2958,6.46,6.24,3.92
17,28345,0.33,3,3,6,61.2,54.0,666,4.47,4.49,2.74
18,53392,0.77,2,1,4,63.8,58.0,2665,5.81,5.78,3.7
19,21802,1.57,4,1,4,62.9,61.0,9875,7.41,7.37,4.65
20,38343,0.32,4,4,2,61.8,55.0,1020,4.45,4.39,2.73
21,52695,0.7,3,2,6,61.9,57.0,2553,5.69,5.74,3.54
22,21056,0.31,4,3,6,61.8,59.0,625,4.31,4.33,2.67
23,22325,1.2,3,3,5,62.1,58.0,10367,6.78,6.84,4.23
24,5536,0.91,3,5,4,60.6,57.0,3854,6.3,6.26,3.81
25,43436,0.5,2,3,5,58.0,61.0,1415,5.18,5.23,3.02
26,26540,2.09,5,3,4,62.5,60.0,16210,8.14,8.06,5.06
27,41137,0.5,2,4,3,63.6,55.0,1197,5.03,5.06,3.21
28,19772,1.51,3,6,3,61.1,59.0,8342,7.4,7.37,4.51
29,40273,0.31,3,4,3,61.8,55.0,493,4.38,4.42,2.72
30,8473,1.01,3,3,4,62.5,55.0,4416,6.39,6.4,4.0
31,43498,0.54,3,4,6,61.5,55.0,1422,5.24,5.27,3.23
32,26166,1.21,3,3,2,62.8,56.0,15497,6.75,6.84,4.27
33,46753,0.46,3,4,7,61.6,55.0,1800,5.0,5.03,3.09
34,49730,0.52,4,4,7,59.2,58.0,2153,5.31,5.28,3.14
35,46979,0.23,5,3,8,62.0,58.0,530,3.89,3.92,2.42
36,50574,0.73,3,5,4,62.3,56.0,2278,5.78,5.72,3.58
